41268,,,ALT,,LAT DIST,LONG DIST,DIST
41283,0.0253798808,-0.0666666667,-1,,0.3335999999,-0.1834180175,0.3806982126
41313,0.0127773465,0,0,,-0.1111999997,0.3668365922,0.3833203951
44187,1.2718356251,0.472164231,1357,,2368.2263999997,2784.3126837061,3655.2555864538
44202,12.7855973388,4.6,69,,102.0815999998,162.3589673717,191.7839600815
44217,15.033441547,4.9333333333,74,,108.6423999999,197.6051896854,225.5016232055
44232,15.7692191188,4.4,66,,110.8664000006,208.9473676896,236.5382867814
44262,13.2569242269,4.3,129,,169.3575999999,359.8464106861,397.7077268062
44292,14.0033508767,4.2333333333,127,,124.0991999996,401.3525143291,420.1005263016
44337,12.0767409406,4.0666666667,183,,162.2408000005,518.6708571926,543.4533423263
44352,12.5254160396,4.2666666667,64,,66.3863999999,175.7617889714,187.8812405946
44397,11.1998541329,4.1777777778,188,,96.4103999999,494.6861816193,503.9934359823
44412,11.3583831496,4.8666666667,73,,31.4696000003,167.444198242,170.3757472444
44427,11.2784338353,4.6666666667,70,,6.2271999993,169.0618605132,169.1765075299
44442,12.7978786224,4.5333333333,68,,29.9128000003,189.6233273459,191.968179336
44457,12.4077093797,4.6,69,,-7.3391999996,185.9708790513,186.1156406962
44472,11.5697990396,4.7333333333,71,,18.3479999995,172.5743523953,173.5469855936
44487,12.019501024,5.0666666667,76,,-2.5575999999,180.2743736007,180.2925153601
44502,12.4090206588,4.6666666667,70,,33.8048,183.0398565386,186.1353098815
44517,13.2752846982,5.0666666667,76,,12.5655999999,198.7324131986,199.1292704729
44532,12.9768672107,5.2,78,,17.0136000005,193.9080477982,194.6530081604
44547,13.1549846122,4.8666666667,73,,38.9199999997,193.4484379179,197.3247691823
44562,13.9638011186,4.5333333333,68,,17.7920000001,208.6999918878,209.457016779
44592,14.114039906,4.5666666667,137,,85.0680000001,414.7878320271,423.4211971805
44607,15.208690262,4.3333333333,65,,72.7247999997,216.228032061,228.1303539294
44622,14.5623891642,4.7333333333,71,,54.4879999999,211.5307848622,218.4358374636
44637,15.3472143415,4.4666666667,67,,50.8183999997,224.5290906134,230.2082151232
44652,14.8707196199,4,60,,31.0248000007,220.8926882857,223.0607942987
44667,15.8787955721,4.2,63,,68.0543999996,228.2525621436,238.1819335811
44682,15.4384425525,4.4,66,,62.6056,222.9535338348,231.576638288
44697,15.6186045846,4.1333333333,62,,60.0480000001,226.4529084812,234.2790687697
44712,15.4207684273,3.9333333333,59,,63.2727999999,222.4894942013,231.3115264092
44727,15.7263582214,3.9333333333,59,,63.9400000005,227.0645360998,235.8953733211
44742,16.1118841256,3.8666666667,58,,66.8311999996,232.2541129319,241.6782618838
44757,15.631864947,3.8666666667,58,,68.4992000001,224.2493700925,234.4779742056
44772,15.2763896556,4,60,,67.1648000003,219.0815095925,229.1458448334
44787,14.8062988734,4.1333333333,62,,62.0495999998,213.2505722465,222.0944831003
44802,15.0037656624,4.2,63,,68.9439999998,214.2361927308,225.056484936
44817,15.2051562847,4.2,63,,74.0592000003,215.7185895212,228.0773442709
44832,15.6377426779,3.8666666667,58,,83.7335999996,219.1117485314,234.5661401681
44847,15.1447364116,4.4666666667,67,,77.5064000003,213.5402589178,227.1710461737
44862,15.0386060041,4.6,69,,74.3928000002,212.9592383089,225.5790900615
44877,15.0073725746,4.6,69,,80.2863999996,210.3066120777,225.1105886192
44892,15.7910224398,4.5333333333,68,,86.6248000002,220.4570972004,236.8653365968
44907,16.1718514564,4.3333333333,65,,88.5152000001,225.851798227,242.5777718453
44922,16.9565185861,4.7333333333,71,,108.4199999996,230.0823682424,254.3477787911
44937,16.289415348,4.6666666667,70,,94.6312000005,225.2722192631,244.3412302197
44952,15.8495080652,4.7333333333,71,,97.8559999995,216.6696958366,237.7426209787
44967,15.790633104,4.4,66,,89.7384000002,219.2018263516,236.8594965596
44982,17.2946165338,4.8666666667,73,,108.1976000002,235.7787640788,259.4192480067
44997,15.9715995313,4.3333333333,65,,94.0752000003,220.3305581443,239.5739929693
45012,16.2913418635,4.5333333333,68,,96.6327999994,224.4523588645,244.3701279526
45027,15.0908661939,4.6666666667,70,,112.4232000006,196.4719538759,226.3629929078
45042,14.0951987602,4.6,69,,106.5295999997,182.6286824236,211.4279814023
45057,15.7225556246,4.4,66,,137.4431999999,191.6483413223,235.8383343686
45072,16.2714976105,4.4,66,,139.8896,200.0056688489,244.0724641574
45087,16.1771425684,4.2,63,,149.0079999999,191.5178916286,242.6571385264
45102,17.0204417307,4.6666666667,70,,176.3632000004,184.6009072159,255.3066259604
45117,16.1654875769,4.6,69,,147.6736000001,192.3283138229,242.4823136539
45132,17.4962599499,4.4,66,,153.0112000001,213.2237625763,262.4438992483
45147,16.8604400972,4.5333333333,68,,161.0175999996,195.0258484193,252.9066014585
45162,16.4821982385,4.3333333333,65,,131.9944000002,209.0493281317,247.232973577
45177,17.1975573624,4.2666666667,64,,160.4616000002,201.9830939768,257.9633604353
45192,16.4244101573,4.4666666667,67,,171.0255999996,177.3316812454,246.3661523597
45207,16.512989274,3.4,51,,160.7952000002,188.4081659016,247.6948391095
45222,14.739000026,4.3333333333,65,,129.8816,178.9115630111,221.0850003905
45252,14.5971329186,3.9333333333,118,,246.9751999999,361.6239913,437.9139875577
45267,14.2674872222,3.6,54,,87.7368000005,195.2012347388,214.0123083327
45282,12.8966300915,3.7333333333,56,,96.4103999999,167.7132225201,193.4494513723
45297,14.1994206491,3.8666666667,58,,124.3215999998,172.9434525991,212.9913097368
45312,14.0288806586,4.2,63,,115.9815999995,175.5858886168,210.4332098786
45327,15.2448267537,3.6666666667,55,,126.8792000005,190.2438848584,228.6724013054
